Questions	Answers
 Hello	 Hello
 My name is Emily Edwards.	 How may I help you out?
 I need some help in my flight ticket reservation to attend a convocation meeting, can you please help me?	 Sure, I will help you out.  May I know your travelling dates please?
 Thank you and my dates are 06/12 and back on 06/14.	 Can I know your airport codes?
 The airport codes are from DFW to IAD.	 Ok, please wait a moment.
 Sure.	 There is a flight with connection 1 and price 200, can I proceed with this flight?
 Yes, do proceed with booking.	 Ok, your ticket has been booked.
 Thank you for your assistance in my flight ticket reservation.	 Thank you for choosing us.
 You are welcome.	 Hello
 Hello	 How can I assist you?
 I need to attend a marriage at New York, can you please help me in booking a flight ticket from DEN to LGA?	 Ok, may I know your travelling dates?
 Sure, my travelling dates are from 10/05 to 10/07.	 Ok, please wait.
 Sure.	 Sorry, no flights found on your route.
 That's ok, no problem.	 May I know your name?.
 Myself Nicholas Wilson.	 Thank you for reaching us.
 Thank you for the information.  Hello, I am Charles Johnson.	 Hello, how may I help you?
 I would like to go to a event in Philadelphia, so could you please book a ticket for me?	 Sure. Please share your journey dates.
 I would like to go on 09/10 and return back on 09/12.	 Can I have your nearby airport codes?
 My source and destination airport codes are PHX and PHL.	 Please wait for a moment.
 Ok, ensure it is a direct flight.	 There is a direct flight available on your given dates, shall I proceed?
 Ok, please proceed for further if it costs you below 200.	 Your booking is done with flight number 1009. Happy journey.
 Thank you for booking.	 You are welcome. Thank you for opting us, have a nice day.
 Welcome.  Hi.	 Hello, how can I help you today? 
 Could you please book a flight ticket from DEN to DTW as I want to attend a pioneer festival?	 Sure, please share your planned travel dates?
 My travel dates are June 24 and June 26.	 Do you have any connection limit? 
 I need a single connecting flight.	 Any other preferences? 
 No.	 Can I have your name please? 
 My name is Barbara Turner.	 United airlines flight 1010 available with connection and fare is 100, shall I confirm this economy class flight?
 Yes, please confirm it.	 Ok, your ticket has been processed. 
 Thank you for your service.	 Thank you for your help.   Thank you for opting us. 
 Hello	 Hello
 I am Virginia Taylor.	 How can I help you at this moment?
 As my budget is low, I am looking for a flight with ticket fare less than 200.  Could you please help me with that?	 Sure, can you please provide your travelling airport codes?
 My nearest source airport code is HOU and destination airport code is DFW.	 May I know your preferable journey dates to proceed further?
 I would like to take off on 06/14 and return on 06/16.	 Hawaiian airlines is available on this route with a ticket fare of 100, shall I book your ticket?
 Please proceed with the booking if the connection is 1.	 Your ticket is booked with flight number 1007 with 1 connection limit.
 Thank you for your service.	 Thank you, have a safe journey.
 Hello, I am David Turner. 	 Hello, How may I assist you today?
 I need to visit New York for my birthday to celebrate with my parents.   Can you help me in booking flight ticket? 	 Sure  Could you please provide your travelling dates?
 My travelling dates are 02/26 and 02/28. 	 Let me know your source and destination codes?
 Source is PHX and destination is LGA. 	 We found a flight with Frontier airline with price 100 and 1 connection that matches your requirement.  Shall I proceed with booking?
 Yes, please. 	 Your flight is reserved with flight number 1011.
 Thank you for booking my ticket. 	 Thank you for opting us.
 Hello, I am Gary Davis.	 Hello, how may I help you at this moment?
 I would like to go to a event in Detroit, so could you please book a ticket for me?	 Sure, I will help you. Please send your travelling dates.
 Sure, I would like to go on 10/03 and return back on 10/05.	 Can I have your source and destination airport codes?
 My source and destination airport codes are ATL and DTW.	 Please wait for a moment, I will check the availability.
 Ok, ensure it is a single connecting flight.	 There is a connecting flight available with UA airline, shall I book it?
 Ok, please proceed for further.	 Your booking is done with flight number 1010. Happy journey.
 Thank you for booking.	 You are welcome, have a nice day.
 Hi	 Hello, how may I assist you?
 My name is Anna Robinson, and I would prefer to book a flight ticket.	 Sure, may I know your journey points and dates?
 Sure, I would prefer to travel to Philadelphia PA - PHL from Washington DC - DCA.  And my derparture is on 08/20 return 08/22.  And please make sure that it should have single connection and price limit should not exceed 200.	 Please wait a moment. I will check and let you know.
 Sure	 Thanks for waiting.  Sorry to say that we have not found a flight on your name.
 OK, thanks for your valuable information.	 Thank you have a good day.
 Hi	 Hello, how can I guide you for today?
 I am Michael Nelson here, I want to reserve my ticket within the connections limit 1, can you please help me in this intent?	 Can you please share on what dates you are willing to travel?
 Sure, my dates of journey is from 07/14 to 07/16.	 Can you please provide your source and destination airport codes?
 Ok, my respective airports codes are from BOS to OAK.	 Please give me a minute, I will check the availability of flights on this route.
